pair,engagement by Utterance,engagement by Second,mean engagement by Utterance,mean engagement by Second,openness,conscientiousness,extraversion,agreeableness,neuroticism,openness difference,conscientiousness difference,extraversion difference,agreeableness difference,neuroticism difference
P007_P049,1.2926439891192136,1.2528484509057385,1.3560356109100975,1.3358861111763163,0.19,0.08,0.52,0.1,0.7,-0.6200000000000001,-0.52,0.42000000000000004,-0.5,-0.10000000000000009
P022_P007,1.1976515280463462,1.1293998618961993,1.2205313328772756,1.1721371527031448,0.35,0.48,0.59,0.75,0.47,0.15999999999999998,0.39999999999999997,0.06999999999999995,0.65,-0.22999999999999998
P022_P028,0.9613043318764222,0.8950577500476304,1.2205313328772756,1.1721371527031448,0.35,0.48,0.59,0.75,0.47,0.15999999999999998,0.31999999999999995,0.06999999999999995,0.75,0.03999999999999998
P022_P049,1.1631191810724446,1.0745454990294558,1.2205313328772756,1.1721371527031448,0.35,0.48,0.59,0.75,0.47,-0.4600000000000001,-0.12,0.49,0.15000000000000002,-0.33000000000000007
P028_P007,0.92454360321761,0.9160122063594817,0.9700912549194067,1.0061201192337395,0.19,0.16,0.52,0.0,0.43,0.0,0.08,0.0,-0.1,-0.26999999999999996
P028_P022,0.8982777979394136,0.8934693258069349,0.9700912549194067,1.0061201192337395,0.19,0.16,0.52,0.0,0.43,-0.15999999999999998,-0.31999999999999995,-0.06999999999999995,-0.75,-0.03999999999999998
P028_P049,0.8955161033764969,0.8805941338240059,0.9700912549194067,1.0061201192337395,0.19,0.16,0.52,0.0,0.43,-0.6200000000000001,-0.43999999999999995,0.42000000000000004,-0.6,-0.37000000000000005
P049_P007,1.1818942686682365,1.1599968020519957,1.2469396813342284,1.203772872379879,0.81,0.6,0.1,0.6,0.8,0.6200000000000001,0.52,-0.42000000000000004,0.5,0.10000000000000009
P049_P022,1.2069313309049015,1.1767543205244415,1.2469396813342284,1.203772872379879,0.81,0.6,0.1,0.6,0.8,0.4600000000000001,0.12,-0.49,-0.15000000000000002,0.33000000000000007
P049_P028,1.1131492709966204,1.0797729479505704,1.2469396813342284,1.203772872379879,0.81,0.6,0.1,0.6,0.8,0.6200000000000001,0.43999999999999995,-0.42000000000000004,0.6,0.37000000000000005
P047_P057,1.0516072577431588,1.0327831456253433,1.0899017516522973,1.0540474210848056,0.77,0.4,0.52,0.85,0.5,0.6900000000000001,0.0,0.14,0.35,-0.30000000000000004
P047_P063,1.025179150578828,0.9942985673831725,1.0899017516522973,1.0540474210848056,0.77,0.4,0.52,0.85,0.5,,,,,
P047_P068,1.0424918023879144,1.0122870690700327,1.0899017516522973,1.0540474210848056,0.77,0.4,0.52,0.85,0.5,0.77,-0.28,0.35,-0.15000000000000002,-0.19999999999999996
